Puntuacion,Veces_despertado,Horas_sueño_profundo,Temperatura,Porcentaje_humedad,Deporte_diario,Tipo_alimentacion,Ha_bebido_alcohol,Mes,Edad,Estacion,Hora_acostarse,Hora_despertar
1.0,4,1.0,43.6,26.1,poco,procesada,Si,septiembre,34,otoño,20:30,8:30
3.1,4,10.0,11.5,55.9,medio,ayuno,No,mayo,65,primavera,20:30,7:45
5.3,3,6.0,40.0,79.6,medio,ayuno,No,abril,63,primavera,1:45,8:30
7.1,1,2.0,13.2,59.3,medio,equilibrada,No,julio,68,verano,21:30,7:45
7.6,2,2.0,26.4,48.0,mucho,ayuno,No,junio,69,verano,1:30,6:00
1.0,4,3.0,36.2,65.5,medio,procesada,Si,octubre,9,otoño,23:15,5:45
4.6,4,7.0,21.1,79.1,poco,equilibrada,No,octubre,7,otoño,1:30,9:30
8.4,1,6.0,17.2,46.2,medio,ayuno,No,marzo,49,primavera,2:00,9:45
1.1,4,9.0,40.5,73.3,poco,equilibrada,Si,octubre,78,otoño,21:15,10:15
6.4,2,3.0,33.5,46.5,nada,equilibrada,No,octubre,61,otoño,23:15,7:00
4.6,3,3.0,35.9,48.7,poco,procesada,No,febrero,38,invierno,23:15,5:45
6.5,2,2.0,29.4,71.9,medio,sana,No,marzo,47,primavera,21:15,7:30
4.5,4,5.0,34.1,74.5,medio,equilibrada,No,diciembre,5,invierno,0:00,6:30
8.4,1,3.0,38.4,40.1,mucho,equilibrada,No,junio,27,verano,22:30,6:00
4.5,3,5.0,29.5,35.1,medio,equilibrada,No,diciembre,62,invierno,2:45,8:30
3.7,3,1.0,30.3,57.3,nada,muy procesada,No,diciembre,6,invierno,0:15,6:00
9.2,0,7.0,44.2,32.0,mucho,sana,No,marzo,37,primavera,21:00,9:15
10.0,0,1.0,32.3,41.7,mucho,equilibrada,No,mayo,5,primavera,23:00,5:15
6.7,2,1.0,19.9,65.9,medio,sana,No,abril,11,primavera,1:45,9:15
7.0,0,3.0,15.6,63.8,mucho,ayuno,Si,agosto,74,verano,0:30,8:45
7.6,1,2.0,16.5,62.1,nada,equilibrada,No,febrero,27,invierno,1:15,6:45
6.3,1,3.0,18.9,60.8,nada,muy procesada,Si,enero,59,invierno,2:00,7:45
7.3,1,1.0,44.5,52.0,mucho,ayuno,Si,mayo,77,primavera,21:15,5:45
6.2,2,4.0,23.8,53.0,poco,equilibrada,No,noviembre,3,otoño,21:00,7:30
9.1,0,4.0,35.8,63.1,mucho,ayuno,No,marzo,50,primavera,20:15,6:00
4.9,3,4.0,12.9,70.3,poco,equilibrada,No,enero,4,invierno,0:00,5:00
8.7,0,2.0,31.8,32.5,mucho,ayuno,Si,abril,45,primavera,1:00,8:45
7.2,2,8.0,35.4,69.5,medio,equilibrada,No,noviembre,56,otoño,20:45,8:15
5.4,3,1.0,30.5,47.8,medio,muy procesada,No,septiembre,75,otoño,1:15,8:45
2.1,4,3.0,14.4,61.5,medio,ayuno,Si,agosto,60,verano,23:15,6:00
1.0,4,3.0,11.5,67.2,poco,muy procesada,Si,noviembre,30,otoño,23:30,7:30
3.1,4,2.0,11.0,74.7,nada,procesada,No,noviembre,67,otoño,21:15,10:30
7.9,2,2.0,43.7,52.4,medio,ayuno,No,mayo,68,primavera,0:15,7:45
6.4,2,6.0,10.2,47.1,poco,procesada,No,noviembre,61,otoño,2:45,9:45
2.1,4,2.0,44.7,34.2,poco,procesada,No,enero,55,invierno,1:00,6:45
4.6,3,3.0,13.0,54.4,medio,ayuno,No,marzo,66,primavera,2:30,7:30
5.6,1,5.0,27.4,56.2,poco,procesada,Si,diciembre,8,invierno,1:00,9:00
6.8,2,5.0,40.5,33.6,poco,muy procesada,No,noviembre,5,otoño,1:45,8:30
1.4,4,5.0,15.0,28.9,medio,sana,Si,junio,76,verano,2:00,10:45
9.3,0,1.0,19.1,60.5,mucho,sana,No,julio,44,verano,2:30,8:45
5.7,2,3.0,25.1,59.4,medio,equilibrada,Si,abril,22,primavera,23:30,5:15
1.7,3,4.0,34.6,30.7,medio,muy procesada,Si,febrero,41,invierno,22:00,6:00
1.5,3,6.0,24.7,25.5,nada,procesada,Si,octubre,2,otoño,23:15,7:15
5.2,2,5.0,14.2,74.0,medio,ayuno,Si,mayo,16,primavera,23:15,6:30
9.2,1,3.0,23.4,77.0,medio,equilibrada,No,marzo,17,primavera,1:30,6:00
8.1,0,1.0,26.9,70.5,medio,equilibrada,No,julio,47,verano,1:00,8:45
8.6,1,2.0,14.6,66.1,medio,sana,No,marzo,41,primavera,2:00,8:00
3.5,3,4.0,42.5,78.0,medio,equilibrada,Si,septiembre,43,otoño,0:15,6:15
7.3,2,9.0,24.9,57.7,mucho,equilibrada,No,marzo,45,primavera,21:00,9:00
5.5,3,1.0,16.7,59.9,nada,muy procesada,No,enero,16,invierno,21:00,8:15
8.2,0,4.0,24.5,43.7,mucho,ayuno,Si,marzo,10,primavera,1:15,9:45
4.9,2,4.0,40.0,45.6,medio,equilibrada,No,diciembre,30,invierno,22:30,5:15
3.1,3,4.0,39.3,53.1,poco,muy procesada,Si,febrero,10,invierno,20:15,5:45
4.3,4,3.0,12.3,32.3,nada,equilibrada,No,noviembre,70,otoño,20:15,8:00
6.2,2,2.0,27.7,79.4,nada,procesada,No,octubre,72,otoño,2:30,8:15
6.7,2,4.0,37.9,31.3,nada,muy procesada,No,enero,79,invierno,0:45,6:30
1.5,4,2.0,38.7,39.4,medio,muy procesada,Si,Desconocido,69,invierno,0:15,5:15
8.0,1,2.0,10.2,57.3,medio,muy procesada,No,noviembre,14,otoño,22:00,5:45
9.4,1,4.0,14.5,26.0,mucho,ayuno,No,agosto,38,verano,2:00,7:15
8.8,1,3.0,12.3,75.4,mucho,ayuno,No,abril,66,primavera,0:30,6:15
8.0,1,2.0,43.1,59.5,mucho,equilibrada,No,agosto,21,verano,23:30,7:15
5.5,3,4.0,34.8,43.6,medio,equilibrada,No,enero,52,invierno,2:00,7:15
8.9,1,3.0,26.3,64.8,medio,equilibrada,No,abril,51,primavera,0:30,8:15
6.5,1,1.0,24.2,32.2,medio,muy procesada,No,septiembre,56,otoño,0:00,5:15
2.6,3,2.0,12.4,39.0,medio,procesada,Si,octubre,13,otoño,0:30,8:15
4.2,4,2.0,23.3,57.1,nada,equilibrada,No,enero,26,invierno,0:15,6:15
9.0,1,7.0,32.2,27.8,medio,ayuno,No,mayo,37,primavera,23:15,7:30
6.8,2,5.0,14.7,68.8,medio,equilibrada,No,diciembre,80,invierno,0:15,7:45
5.7,2,2.0,36.5,35.9,nada,procesada,No,septiembre,19,otoño,23:15,5:30
4.4,3,5.0,10.1,30.1,poco,procesada,No,septiembre,63,otoño,22:15,5:45
3.3,4,2.0,42.2,43.3,nada,muy procesada,No,octubre,47,otoño,1:45,7:00
8.6,1,5.0,15.8,55.1,medio,sana,No,junio,17,verano,2:15,8:45
6.4,2,4.0,10.1,30.4,poco,equilibrada,No,diciembre,39,invierno,23:15,7:00
7.3,1,4.0,11.6,29.3,mucho,sana,Si,agosto,70,verano,21:15,11:00
1.0,4,3.0,25.2,47.9,nada,muy procesada,Si,octubre,20,otoño,23:30,6:45
4.4,2,3.0,44.3,37.5,poco,muy procesada,Si,septiembre,57,otoño,22:00,6:00
8.4,1,1.0,26.5,67.0,mucho,ayuno,No,junio,48,verano,22:30,6:15
3.1,4,4.0,40.7,32.9,medio,equilibrada,No,abril,21,primavera,23:15,5:15
10.0,0,1.0,17.9,41.7,mucho,ayuno,No,agosto,46,verano,21:00,5:15
4.1,2,3.0,37.1,47.8,poco,muy procesada,Si,diciembre,54,invierno,21:45,6:15
6.3,2,14.0,10.7,78.6,nada,procesada,No,octubre,12,otoño,20:00,11:00
6.7,2,1.0,28.8,38.2,medio,ayuno,No,junio,73,verano,20:15,5:45
7.8,2,2.0,26.7,79.8,mucho,equilibrada,No,junio,29,verano,1:30,6:30
8.4,1,3.0,22.9,27.2,medio,procesada,No,noviembre,20,otoño,1:00,7:30
4.7,2,1.0,14.2,39.5,medio,ayuno,Si,marzo,53,primavera,23:30,10:45
6.8,1,6.0,38.2,68.0,medio,sana,Si,agosto,55,verano,23:30,6:45
8.4,1,4.0,39.6,33.5,mucho,ayuno,No,junio,41,verano,2:45,8:45
8.2,1,1.0,38.0,53.5,nada,procesada,No,enero,36,invierno,1:30,7:45
4.4,2,5.0,40.1,42.8,poco,muy procesada,Si,diciembre,38,invierno,23:45,5:15
8.5,1,1.0,41.9,65.9,mucho,equilibrada,No,junio,0,verano,0:30,6:15
5.9,3,3.0,31.2,41.1,medio,ayuno,No,mayo,28,primavera,22:30,6:30
7.0,1,2.0,26.8,64.5,medio,ayuno,Si,marzo,36,primavera,22:00,11:00
8.0,1,5.0,36.9,72.4,mucho,sana,No,junio,8,verano,1:00,9:00
5.7,1,2.0,21.5,46.0,medio,muy procesada,No,noviembre,68,otoño,2:45,9:00
7.1,0,10.0,40.8,71.5,mucho,sana,Si,marzo,67,primavera,20:45,10:30
8.1,1,5.0,18.0,54.6,nada,equilibrada,No,febrero,26,invierno,1:00,9:15
4.4,3,4.0,30.5,35.0,nada,equilibrada,Si,noviembre,8,otoño,2:45,8:00
6.4,3,4.0,42.1,68.9,medio,equilibrada,No,noviembre,57,otoño,2:45,7:15
8.8,0,1.0,14.9,25.3,mucho,ayuno,Si,julio,54,verano,21:45,11:00
8.3,1,5.0,34.6,59.2,mucho,equilibrada,No,Desconocido,49,verano,21:30,9:00
1.7,4,6.0,20.9,54.6,medio,equilibrada,Si,julio,8,verano,0:45,7:30
4.7,1,2.0,15.1,34.2,poco,procesada,Si,diciembre,40,invierno,0:30,8:00
5.0,3,7.0,35.4,37.5,poco,muy procesada,No,enero,50,invierno,2:30,10:30
7.9,1,4.0,20.2,43.5,poco,procesada,No,noviembre,10,otoño,0:15,5:15
4.7,3,2.0,30.5,34.1,medio,equilibrada,No,mayo,46,primavera,21:00,6:00
8.4,1,4.0,35.8,49.8,mucho,ayuno,No,mayo,69,primavera,0:15,8:45
7.6,2,4.0,28.2,38.1,medio,equilibrada,No,julio,35,verano,1:15,9:30
8.6,1,7.0,11.3,68.2,mucho,ayuno,No,julio,53,verano,20:00,10:15
9.1,1,5.0,22.1,56.9,medio,sana,No,abril,69,primavera,2:00,9:00
9.7,0,10.0,31.2,72.7,mucho,sana,No,junio,67,verano,20:15,8:15
5.2,2,4.0,17.7,46.4,medio,ayuno,Si,junio,61,verano,1:45,9:15
9.3,1,12.0,20.1,30.1,medio,ayuno,No,julio,46,verano,20:00,9:30
10.0,0,5.0,31.2,39.9,mucho,equilibrada,No,junio,75,verano,2:15,10:15
1.6,4,1.0,37.2,56.1,nada,procesada,Si,febrero,43,invierno,21:30,6:45
7.7,1,1.0,22.3,46.4,nada,procesada,No,octubre,62,otoño,1:15,9:00
4.4,2,1.0,13.2,56.1,poco,equilibrada,Si,enero,47,invierno,1:15,8:30
4.9,3,5.0,12.1,64.6,medio,sana,No,abril,30,primavera,22:30,11:00
6.1,2,4.0,16.5,39.7,mucho,equilibrada,No,agosto,63,verano,0:30,5:30
7.3,1,1.0,17.4,67.2,medio,muy procesada,No,octubre,76,otoño,22:45,5:15
3.2,4,4.0,28.9,55.2,medio,equilibrada,No,marzo,46,primavera,20:45,8:15
9.4,0,1.0,43.2,39.7,medio,ayuno,No,agosto,25,verano,1:15,6:45
7.9,1,2.0,13.9,69.0,medio,equilibrada,No,julio,59,verano,2:00,8:30
8.1,1,1.0,26.3,69.6,mucho,ayuno,No,agosto,73,verano,20:30,8:15
7.9,1,6.0,42.0,48.0,medio,equilibrada,No,mayo,40,primavera,23:30,6:30
4.4,4,4.0,36.5,70.8,medio,ayuno,No,julio,68,verano,2:30,8:30
4.0,3,1.0,18.3,54.6,medio,procesada,No,diciembre,41,invierno,0:45,7:30
9.4,1,1.0,36.5,45.7,mucho,ayuno,No,junio,56,verano,20:45,7:15
4.9,3,6.0,18.6,38.5,nada,procesada,No,enero,79,invierno,2:30,9:30
4.4,4,6.0,44.3,25.2,poco,equilibrada,No,diciembre,47,invierno,21:15,9:30
9.0,1,5.0,42.5,70.3,mucho,sana,No,marzo,78,primavera,21:45,6:45
6.3,3,1.0,33.5,74.6,medio,equilibrada,No,mayo,38,primavera,1:45,6:30
1.3,4,5.0,26.2,72.8,medio,ayuno,Si,abril,23,primavera,22:15,5:15
2.6,3,5.0,24.1,38.1,poco,procesada,Si,noviembre,10,otoño,1:00,7:00
2.1,4,4.0,41.6,46.6,poco,muy procesada,No,septiembre,66,otoño,0:00,5:30
5.2,3,3.0,11.6,51.7,nada,muy procesada,No,octubre,57,otoño,0:15,6:30
6.9,1,3.0,43.4,65.8,medio,muy procesada,No,octubre,6,otoño,22:30,5:30
7.2,2,1.0,42.6,62.6,medio,equilibrada,No,marzo,24,primavera,21:15,5:45
6.1,3,2.0,24.7,45.7,medio,equilibrada,No,mayo,35,primavera,20:30,6:30
1.0,4,3.0,14.0,70.1,medio,muy procesada,Si,octubre,71,otoño,0:45,6:45
7.9,1,9.0,32.7,39.9,mucho,sana,No,agosto,21,verano,23:45,10:45
6.0,2,6.0,20.7,45.9,mucho,sana,No,agosto,16,verano,20:00,5:45
6.3,2,2.0,21.8,43.3,poco,procesada,No,septiembre,61,otoño,21:00,7:00
6.8,2,1.0,28.8,31.2,medio,equilibrada,No,octubre,71,otoño,0:15,5:30
6.1,2,8.0,43.8,77.5,medio,ayuno,No,agosto,62,verano,20:30,10:00
8.9,0,2.0,14.2,68.9,mucho,ayuno,Si,julio,49,verano,1:30,9:00
7.2,2,11.0,28.7,56.9,mucho,ayuno,No,mayo,50,primavera,20:15,10:15
8.5,1,6.0,27.6,68.4,mucho,ayuno,No,marzo,47,primavera,1:15,9:45
3.1,4,4.0,13.4,79.4,poco,equilibrada,No,enero,60,invierno,1:00,7:45
6.9,2,5.0,21.4,65.5,mucho,sana,No,marzo,19,primavera,23:45,5:00
4.0,4,5.0,22.6,53.6,medio,equilibrada,No,abril,53,primavera,1:30,7:30
5.1,2,6.0,31.5,79.8,mucho,sana,Si,agosto,50,verano,22:45,5:00
3.0,4,5.0,28.3,35.4,medio,equilibrada,Si,febrero,79,invierno,1:00,8:15
4.0,2,1.0,36.7,32.3,poco,equilibrada,Si,septiembre,55,otoño,2:30,7:00
2.8,3,5.0,19.1,56.1,nada,equilibrada,Si,septiembre,55,otoño,20:45,5:15
8.1,1,2.0,10.3,78.2,poco,equilibrada,No,febrero,20,invierno,21:30,5:45
5.2,2,3.0,39.5,65.1,medio,equilibrada,Si,diciembre,54,invierno,2:45,8:15
9.1,1,2.0,45.0,41.1,medio,equilibrada,No,mayo,9,primavera,23:15,5:00
4.9,3,2.0,26.1,63.0,medio,equilibrada,No,mayo,52,primavera,2:45,7:45
2.5,4,5.0,38.7,39.7,medio,muy procesada,No,septiembre,21,otoño,1:15,9:30
3.3,3,4.0,10.3,63.6,medio,muy procesada,Si,diciembre,59,invierno,22:15,6:45
4.7,1,1.0,14.3,41.9,poco,procesada,Si,febrero,14,invierno,23:30,6:45
6.5,3,4.0,43.0,35.3,medio,ayuno,No,julio,63,verano,2:45,9:30
1.8,4,4.0,35.4,52.7,nada,procesada,Si,febrero,55,invierno,2:45,10:00
4.6,2,4.0,36.4,54.9,poco,equilibrada,Si,noviembre,30,otoño,22:15,7:45
1.4,4,8.0,12.9,64.8,poco,muy procesada,Si,enero,7,invierno,20:30,7:45
4.8,4,5.0,23.2,44.5,medio,ayuno,No,agosto,77,verano,23:00,5:30
9.0,1,5.0,15.5,49.7,medio,ayuno,No,agosto,2,verano,0:15,8:00
4.1,3,3.0,37.5,39.4,poco,procesada,No,diciembre,18,invierno,0:30,5:45
7.4,1,4.0,11.1,61.2,medio,equilibrada,Si,marzo,65,primavera,0:15,6:00
4.1,2,2.0,39.1,56.0,nada,procesada,Si,enero,50,invierno,20:45,6:45
1.7,4,10.0,29.1,48.7,nada,muy procesada,Si,octubre,2,otoño,21:30,8:30
2.5,3,2.0,30.8,74.6,poco,muy procesada,Si,diciembre,74,invierno,0:45,7:15
3.6,1,7.0,16.1,69.1,poco,muy procesada,Si,septiembre,12,otoño,20:45,5:00
10.0,0,7.0,42.9,48.5,mucho,equilibrada,No,julio,19,verano,0:15,8:45
4.2,3,4.0,33.8,48.4,poco,procesada,No,febrero,7,invierno,0:30,5:30
4.4,3,5.0,20.2,51.9,nada,procesada,No,febrero,13,invierno,0:30,6:15
8.3,0,2.0,20.9,37.6,mucho,sana,Si,junio,64,verano,2:00,10:30
5.4,2,1.0,32.6,37.7,mucho,sana,Si,marzo,37,primavera,1:00,7:45
7.0,1,1.0,42.5,57.0,mucho,sana,Si,julio,15,verano,23:45,7:15
1.8,4,2.0,41.4,67.4,poco,equilibrada,Si,enero,47,invierno,23:30,6:45
7.0,2,3.0,41.9,40.0,mucho,ayuno,No,marzo,37,primavera,1:45,8:45
4.6,2,3.0,38.9,47.2,poco,equilibrada,Si,Desconocido,60,invierno,23:30,9:15
8.2,0,2.0,17.2,30.7,nada,muy procesada,No,octubre,35,otoño,2:45,7:15
3.6,4,1.0,15.8,52.7,poco,muy procesada,No,septiembre,20,otoño,0:00,8:30
7.9,0,1.0,28.2,74.6,mucho,equilibrada,Si,marzo,4,primavera,21:15,5:45
8.0,1,2.0,32.0,57.7,medio,equilibrada,No,marzo,73,primavera,2:00,8:30
6.3,2,2.0,38.0,79.7,mucho,equilibrada,No,julio,30,verano,0:30,7:30
8.0,1,5.0,16.2,70.5,nada,equilibrada,No,noviembre,55,otoño,0:00,6:00
8.0,2,3.0,19.8,65.9,mucho,ayuno,No,mayo,72,primavera,20:15,9:15
10.0,0,5.0,13.1,55.5,mucho,equilibrada,No,mayo,72,primavera,23:15,5:00
4.8,2,7.0,38.7,69.4,nada,muy procesada,No,septiembre,36,otoño,21:45,5:30
4.3,3,5.0,23.6,75.9,nada,procesada,No,febrero,36,invierno,2:30,8:30
10.0,0,4.0,11.5,42.1,mucho,equilibrada,No,julio,23,verano,2:00,10:45
10.0,0,6.0,16.2,27.4,mucho,ayuno,No,julio,8,verano,22:15,11:00
5.8,2,3.0,16.5,42.6,mucho,sana,Si,junio,6,verano,1:30,9:15
6.2,2,1.0,19.8,37.0,medio,equilibrada,No,marzo,50,primavera,0:45,8:15
8.5,1,5.0,23.3,38.7,medio,ayuno,No,junio,38,verano,0:30,6:45
9.4,1,3.0,15.4,26.8,medio,sana,No,abril,4,primavera,23:30,6:30
3.6,3,5.0,14.3,53.3,poco,procesada,No,enero,3,invierno,22:15,6:00
4.0,4,9.0,29.9,64.9,medio,ayuno,No,abril,27,primavera,21:00,7:30
8.3,1,1.0,18.1,69.4,medio,equilibrada,No,agosto,0,verano,23:15,5:00
4.8,3,6.0,27.7,65.4,medio,sana,No,agosto,39,verano,23:30,7:45
6.6,2,1.0,29.5,42.6,mucho,sana,No,julio,53,verano,0:15,5:00
3.0,4,2.0,39.3,50.3,medio,equilibrada,No,junio,54,verano,0:00,6:45
7.7,1,1.0,35.2,66.8,mucho,sana,No,marzo,45,primavera,1:45,7:45
4.8,2,11.0,11.0,74.1,poco,muy procesada,Si,octubre,57,otoño,22:15,11:00
7.5,1,1.0,44.6,30.4,medio,ayuno,No,julio,24,verano,21:45,7:30
7.1,1,2.0,40.0,73.4,mucho,equilibrada,Si,marzo,11,primavera,0:45,8:15
9.3,0,4.0,23.2,41.3,mucho,ayuno,No,agosto,13,verano,22:45,8:00
2.6,4,2.0,31.1,76.0,medio,equilibrada,Si,enero,14,invierno,21:15,5:15
1.0,4,1.0,38.2,50.2,nada,procesada,Si,diciembre,27,invierno,21:00,5:15
5.6,3,6.0,17.4,76.5,nada,equilibrada,No,febrero,0,invierno,20:00,9:00
7.2,1,5.0,11.0,43.2,nada,procesada,No,diciembre,30,invierno,2:45,9:45
8.4,1,2.0,40.9,52.3,medio,sana,No,abril,24,primavera,21:45,10:30
3.3,4,12.0,21.1,26.1,medio,procesada,No,febrero,0,invierno,21:15,11:15
6.5,2,4.0,27.2,32.6,nada,equilibrada,No,diciembre,4,invierno,22:30,5:15
6.3,2,2.0,18.4,40.2,medio,muy procesada,No,enero,51,invierno,2:00,7:15
1.5,4,5.0,21.9,73.3,medio,ayuno,Si,junio,21,verano,20:00,9:00
2.6,3,6.0,27.3,62.9,nada,muy procesada,Si,enero,73,invierno,1:00,9:30
7.3,2,4.0,23.0,74.1,medio,equilibrada,No,marzo,44,primavera,1:45,7:00
10.0,0,4.0,34.4,70.1,mucho,ayuno,No,julio,73,verano,21:15,5:30
7.2,2,4.0,44.5,73.2,medio,sana,No,marzo,67,primavera,22:15,6:45
7.5,2,5.0,33.3,58.7,medio,ayuno,No,mayo,10,primavera,21:45,9:45
5.3,1,1.0,40.7,30.0,mucho,sana,Si,agosto,18,verano,20:00,8:15
4.1,4,4.0,28.3,71.1,medio,equilibrada,No,julio,17,verano,21:45,7:00
5.9,1,3.0,15.7,59.1,mucho,equilibrada,Si,mayo,37,primavera,0:00,6:30
5.9,3,3.0,23.1,49.2,poco,equilibrada,No,febrero,76,invierno,2:30,9:45
5.6,1,3.0,10.2,54.6,mucho,sana,Si,julio,72,verano,0:00,7:30
8.1,1,8.0,37.4,76.7,mucho,equilibrada,No,abril,21,primavera,20:45,7:45
5.6,2,5.0,43.4,78.4,poco,muy procesada,No,enero,42,invierno,21:30,5:00
6.6,1,5.0,37.1,38.4,poco,procesada,No,noviembre,63,otoño,22:45,6:30
4.9,2,6.0,35.1,30.4,mucho,equilibrada,Si,marzo,3,primavera,0:00,7:45
9.0,1,9.0,16.1,79.7,mucho,ayuno,No,junio,71,verano,21:45,7:45
6.2,3,1.0,42.5,40.1,medio,sana,No,abril,3,primavera,2:30,9:30
7.7,1,4.0,14.8,66.0,medio,ayuno,No,julio,59,verano,0:30,8:30
7.1,2,11.0,17.7,34.4,poco,equilibrada,No,septiembre,53,otoño,20:15,11:15
2.6,4,2.0,20.2,62.5,medio,equilibrada,Si,agosto,44,verano,2:45,8:00
6.8,1,1.0,23.4,34.5,poco,muy procesada,No,diciembre,78,invierno,1:15,6:00
7.3,1,10.0,18.9,37.9,medio,sana,Si,agosto,69,verano,20:45,7:30
7.4,2,10.0,37.4,32.0,nada,equilibrada,No,enero,68,invierno,20:15,8:45
5.4,2,2.0,42.4,42.0,mucho,equilibrada,Si,abril,2,primavera,1:15,8:45
7.8,1,2.0,23.3,63.8,mucho,sana,No,abril,77,primavera,0:00,8:45
6.7,2,3.0,30.4,73.6,medio,ayuno,No,julio,70,verano,22:15,10:45
3.6,4,4.0,33.5,77.8,poco,muy procesada,No,noviembre,67,otoño,22:30,8:45
3.2,4,4.0,28.6,62.6,poco,equilibrada,No,septiembre,71,otoño,2:45,8:30
6.4,2,12.0,20.8,52.3,medio,equilibrada,No,mayo,21,primavera,20:15,10:00
4.1,4,6.0,34.0,47.2,medio,equilibrada,No,junio,48,verano,22:15,6:00
5.2,2,6.0,44.8,56.5,mucho,sana,Si,junio,34,verano,0:15,8:30
6.9,2,4.0,35.3,30.0,mucho,equilibrada,No,junio,30,verano,1:15,8:00
7.7,2,5.0,31.0,63.3,poco,equilibrada,No,octubre,71,otoño,2:15,8:15
3.9,4,6.0,38.7,49.0,poco,muy procesada,No,noviembre,50,otoño,1:15,8:00
2.6,3,4.0,13.0,60.5,poco,equilibrada,Si,noviembre,35,otoño,2:15,10:45
7.5,2,3.0,20.5,41.2,medio,sana,No,mayo,56,primavera,1:00,8:45
6.6,2,3.0,21.9,56.3,nada,procesada,No,enero,20,invierno,23:30,5:45
8.9,1,2.0,34.3,68.5,mucho,ayuno,No,julio,65,verano,1:00,8:45
4.7,2,1.0,23.8,58.8,medio,procesada,Si,septiembre,55,otoño,2:15,8:00
4.9,2,4.0,22.3,64.8,nada,procesada,Si,diciembre,68,invierno,23:30,7:30
1.9,4,1.0,15.5,33.2,nada,procesada,Si,febrero,42,invierno,2:15,9:15
2.5,3,1.0,19.1,42.6,nada,muy procesada,Si,diciembre,2,invierno,0:30,8:30
5.4,3,7.0,39.2,39.6,medio,ayuno,No,mayo,18,primavera,21:00,10:00
8.3,1,2.0,16.3,31.0,medio,procesada,No,octubre,75,otoño,1:15,7:15
1.0,4,2.0,26.7,64.3,nada,procesada,Si,noviembre,69,otoño,2:45,8:00
2.0,4,4.0,15.2,62.1,medio,ayuno,Si,marzo,78,primavera,2:15,7:00
3.8,3,4.0,36.3,37.0,medio,equilibrada,Si,julio,29,verano,0:15,6:00
7.6,0,2.0,23.5,26.0,mucho,ayuno,No,abril,56,primavera,0:00,6:30
7.2,1,7.0,11.3,71.3,medio,procesada,No,noviembre,34,otoño,23:30,7:00
4.8,2,3.0,13.4,68.0,medio,equilibrada,Si,julio,44,verano,23:30,7:30
4.2,2,4.0,21.8,46.5,medio,ayuno,Si,mayo,20,primavera,1:45,8:15
1.2,4,1.0,41.1,59.4,nada,equilibrada,Si,diciembre,4,invierno,22:15,6:45
