Puntuacion,Veces_despertado,Horas_sueño_profundo,Temperatura,Porcentaje_humedad,Deporte_diario,Tipo_alimentacion,Ha_bebido_alcohol,Mes,Edad,Estacion,Hora_acostarse,Hora_despertar
1.0,4,3,36.2,65.5,medio,procesada,True,octubre,9,otoño,23:15,5:45
4.6,4,7,21.1,79.1,poco,equilibrada,False,octubre,7,otoño,1:30,9:30
8.4,1,6,17.2,46.2,medio,ayuno,False,marzo,49,primavera,2:00,9:45
1.1,4,9,40.5,73.3,poco,equilibrada,True,octubre,78,otoño,21:15,10:15
6.4,2,3,33.5,46.5,nada,equilibrada,False,octubre,61,otoño,23:15,7:00
4.6,3,3,35.9,48.7,poco,procesada,False,febrero,38,invierno,23:15,5:45
6.5,2,2,29.4,71.9,medio,sana,False,marzo,47,primavera,21:15,7:30
4.5,4,5,34.1,74.5,medio,equilibrada,False,diciembre,5,invierno,0:00,6:30
8.4,1,3,38.4,40.1,mucho,equilibrada,False,junio,27,verano,22:30,6:00
4.5,3,5,29.5,35.1,medio,equilibrada,False,diciembre,62,invierno,2:45,8:30
3.7,3,1,30.3,57.3,nada,muy procesada,False,diciembre,6,invierno,0:15,6:00
9.2,0,7,44.2,32.0,mucho,sana,False,marzo,37,primavera,21:00,9:15
10.0,0,1,32.3,41.7,mucho,equilibrada,False,mayo,5,primavera,23:00,5:15
6.7,2,1,19.9,65.9,medio,sana,False,abril,11,primavera,1:45,9:15
7.0,0,3,15.6,63.8,mucho,ayuno,True,agosto,74,verano,0:30,8:45
7.6,1,2,16.5,62.1,nada,equilibrada,False,febrero,27,invierno,1:15,6:45
6.3,1,3,18.9,60.8,nada,muy procesada,True,enero,59,invierno,2:00,7:45
7.3,1,1,44.5,52.0,mucho,ayuno,True,mayo,77,primavera,21:15,5:45
6.2,2,4,23.8,53.0,poco,equilibrada,False,noviembre,3,otoño,21:00,7:30
9.1,0,4,35.8,63.1,mucho,ayuno,False,marzo,50,primavera,20:15,6:00
4.9,3,4,12.9,70.3,poco,equilibrada,False,enero,4,invierno,0:00,5:00
8.7,0,2,31.8,32.5,mucho,ayuno,True,abril,45,primavera,1:00,8:45
7.2,2,8,35.4,69.5,medio,equilibrada,False,noviembre,56,otoño,20:45,8:15
5.4,3,1,30.5,47.8,medio,muy procesada,False,septiembre,75,otoño,1:15,8:45
2.1,4,3,14.4,61.5,medio,ayuno,True,agosto,60,verano,23:15,6:00
1.0,4,3,11.5,67.2,poco,muy procesada,True,noviembre,30,otoño,23:30,7:30
3.1,4,2,11.0,74.7,nada,procesada,False,noviembre,67,otoño,21:15,10:30
7.9,2,2,43.7,52.4,medio,ayuno,False,mayo,68,primavera,0:15,7:45
6.4,2,6,10.2,47.1,poco,procesada,False,noviembre,61,otoño,2:45,9:45
2.1,4,2,44.7,34.2,poco,procesada,False,enero,55,invierno,1:00,6:45
4.6,3,3,13.0,54.4,medio,ayuno,False,marzo,66,primavera,2:30,7:30
5.6,1,5,27.4,56.2,poco,procesada,True,diciembre,8,invierno,1:00,9:00
6.8,2,5,40.5,33.6,poco,muy procesada,False,noviembre,5,otoño,1:45,8:30
1.4,4,5,15.0,28.9,medio,sana,True,junio,76,verano,2:00,10:45
9.3,0,1,19.1,60.5,mucho,sana,False,julio,44,verano,2:30,8:45
5.7,2,3,25.1,59.4,medio,equilibrada,True,abril,22,primavera,23:30,5:15
1.7,3,4,34.6,30.7,medio,muy procesada,True,febrero,41,invierno,22:00,6:00
1.5,3,6,24.7,25.5,nada,procesada,True,octubre,2,otoño,23:15,7:15
5.2,2,5,14.2,74.0,medio,ayuno,True,mayo,16,primavera,23:15,6:30
9.2,1,3,23.4,77.0,medio,equilibrada,False,marzo,17,primavera,1:30,6:00
8.1,0,1,26.9,70.5,medio,equilibrada,False,julio,47,verano,1:00,8:45
8.6,1,2,14.6,66.1,medio,sana,False,marzo,41,primavera,2:00,8:00
3.5,3,4,42.5,78.0,medio,equilibrada,True,septiembre,43,otoño,0:15,6:15
7.3,2,9,24.9,57.7,mucho,equilibrada,False,marzo,45,primavera,21:00,9:00
5.5,3,1,16.7,59.9,nada,muy procesada,False,enero,16,invierno,21:00,8:15
8.2,0,4,24.5,43.7,mucho,ayuno,True,marzo,10,primavera,1:15,9:45
4.9,2,4,40.0,45.6,medio,equilibrada,False,diciembre,30,invierno,22:30,5:15
3.1,3,4,39.3,53.1,poco,muy procesada,True,febrero,10,invierno,20:15,5:45
4.3,4,3,12.3,32.3,nada,equilibrada,False,noviembre,70,otoño,20:15,8:00
6.2,2,2,27.7,79.4,nada,procesada,False,octubre,72,otoño,2:30,8:15
6.7,2,4,37.9,31.3,nada,muy procesada,False,enero,79,invierno,0:45,6:30
1.5,4,2,38.7,39.4,medio,muy procesada,True,,69,invierno,0:15,5:15
8.0,1,2,10.2,57.3,medio,muy procesada,False,noviembre,14,otoño,22:00,5:45
9.4,1,4,14.5,26.0,mucho,ayuno,False,agosto,38,verano,2:00,7:15
8.8,1,3,12.3,75.4,mucho,ayuno,False,abril,66,primavera,0:30,6:15
8.0,1,2,43.1,59.5,mucho,equilibrada,False,agosto,21,verano,23:30,7:15
5.5,3,4,34.8,43.6,medio,equilibrada,False,enero,52,invierno,2:00,7:15
8.9,1,3,26.3,64.8,medio,equilibrada,False,abril,51,primavera,0:30,8:15
6.5,1,1,24.2,32.2,medio,muy procesada,False,septiembre,56,otoño,0:00,5:15
2.6,3,2,12.4,39.0,medio,procesada,True,octubre,13,otoño,0:30,8:15
4.2,4,2,23.3,57.1,nada,equilibrada,False,enero,26,invierno,0:15,6:15
9.0,1,7,32.2,27.8,medio,ayuno,False,mayo,37,primavera,23:15,7:30
6.8,2,5,14.7,68.8,medio,equilibrada,False,diciembre,80,invierno,0:15,7:45
5.7,2,2,36.5,35.9,nada,procesada,False,septiembre,19,otoño,23:15,5:30
4.4,3,5,10.1,30.1,poco,procesada,False,septiembre,63,otoño,22:15,5:45
3.3,4,2,42.2,43.3,nada,muy procesada,False,octubre,47,otoño,1:45,7:00
8.6,1,5,15.8,55.1,medio,sana,False,junio,17,verano,2:15,8:45
6.4,2,4,10.1,30.4,poco,equilibrada,False,diciembre,39,invierno,23:15,7:00
7.3,1,4,11.6,29.3,mucho,sana,True,agosto,70,verano,21:15,11:00
1.0,4,3,25.2,47.9,nada,muy procesada,True,octubre,20,otoño,23:30,6:45
4.4,2,3,44.3,37.5,poco,muy procesada,True,septiembre,57,otoño,22:00,6:00
8.4,1,1,26.5,67.0,mucho,ayuno,False,junio,48,verano,22:30,6:15
3.1,4,4,40.7,32.9,medio,equilibrada,False,abril,21,primavera,23:15,5:15
10.0,0,1,17.9,41.7,mucho,ayuno,False,agosto,46,verano,21:00,5:15
4.1,2,3,37.1,47.8,poco,muy procesada,True,diciembre,54,invierno,21:45,6:15
6.3,2,14,10.7,78.6,nada,procesada,False,octubre,12,otoño,20:00,11:00
6.7,2,1,28.8,38.2,medio,ayuno,False,junio,73,verano,20:15,5:45
7.8,2,2,26.7,79.8,mucho,equilibrada,False,junio,29,verano,1:30,6:30
8.4,1,3,22.9,27.2,medio,procesada,False,noviembre,20,otoño,1:00,7:30
4.7,2,1,14.2,39.5,medio,ayuno,True,marzo,53,primavera,23:30,10:45
6.8,1,6,38.2,68.0,medio,sana,True,agosto,55,verano,23:30,6:45
8.4,1,4,39.6,33.5,mucho,ayuno,False,junio,41,verano,2:45,8:45
8.2,1,1,38.0,53.5,nada,procesada,False,enero,36,invierno,1:30,7:45
4.4,2,5,40.1,42.8,poco,muy procesada,True,diciembre,38,invierno,23:45,5:15
8.5,1,1,41.9,65.9,mucho,equilibrada,False,junio,0,verano,0:30,6:15
5.9,3,3,31.2,41.1,medio,ayuno,False,mayo,28,primavera,22:30,6:30
7.0,1,2,26.8,64.5,medio,ayuno,True,marzo,36,primavera,22:00,11:00
8.0,1,5,36.9,72.4,mucho,sana,False,junio,8,verano,1:00,9:00
5.7,1,2,21.5,46.0,medio,muy procesada,False,noviembre,68,otoño,2:45,9:00
7.1,0,10,40.8,71.5,mucho,sana,True,marzo,67,primavera,20:45,10:30
8.1,1,5,18.0,54.6,nada,equilibrada,False,febrero,26,invierno,1:00,9:15
4.4,3,4,30.5,35.0,nada,equilibrada,True,noviembre,8,otoño,2:45,8:00
6.4,3,4,42.1,68.9,medio,equilibrada,False,noviembre,57,otoño,2:45,7:15
8.8,0,1,14.9,25.3,mucho,ayuno,True,julio,54,verano,21:45,11:00
8.3,1,5,34.6,59.2,mucho,equilibrada,False,,49,verano,21:30,9:00
1.7,4,6,20.9,54.6,medio,equilibrada,True,julio,8,verano,0:45,7:30
4.7,1,2,15.1,34.2,poco,procesada,True,diciembre,40,invierno,0:30,8:00
5.0,3,7,35.4,37.5,poco,muy procesada,False,enero,50,invierno,2:30,10:30
7.9,1,4,20.2,43.5,poco,procesada,False,noviembre,10,otoño,0:15,5:15
4.7,3,2,30.5,34.1,medio,equilibrada,False,mayo,46,primavera,21:00,6:00
8.4,1,4,35.8,49.8,mucho,ayuno,False,mayo,69,primavera,0:15,8:45
7.6,2,4,28.2,38.1,medio,equilibrada,False,julio,35,verano,1:15,9:30
8.6,1,7,11.3,68.2,mucho,ayuno,False,julio,53,verano,20:00,10:15
9.1,1,5,22.1,56.9,medio,sana,False,abril,69,primavera,2:00,9:00
9.7,0,10,31.2,72.7,mucho,sana,False,junio,67,verano,20:15,8:15
5.2,2,4,17.7,46.4,medio,ayuno,True,junio,61,verano,1:45,9:15
9.3,1,12,20.1,30.1,medio,ayuno,False,julio,46,verano,20:00,9:30
10.0,0,5,31.2,39.9,mucho,equilibrada,False,junio,75,verano,2:15,10:15
1.6,4,1,37.2,56.1,nada,procesada,True,febrero,43,invierno,21:30,6:45
7.7,1,1,22.3,46.4,nada,procesada,False,octubre,62,otoño,1:15,9:00
4.4,2,1,13.2,56.1,poco,equilibrada,True,enero,47,invierno,1:15,8:30
5.3,3,2,12.2,75.1,medio,procesada,False,oct,19,otoño,23:00,6:00
4.9,3,5,12.1,64.6,medio,sana,False,abril,30,primavera,22:30,11:00
6.1,2,4,16.5,39.7,mucho,equilibrada,False,agosto,63,verano,0:30,5:30
7.3,1,1,17.4,67.2,medio,muy procesada,False,octubre,76,otoño,22:45,5:15
3.2,4,4,28.9,55.2,medio,equilibrada,False,marzo,46,primavera,20:45,8:15
9.4,0,1,43.2,39.7,medio,ayuno,False,agosto,25,verano,1:15,6:45
7.9,1,2,13.9,69.0,medio,equilibrada,False,julio,59,verano,2:00,8:30
8.1,1,1,26.3,69.6,mucho,ayuno,False,agosto,73,verano,20:30,8:15
7.9,1,6,42.0,48.0,medio,equilibrada,False,mayo,40,primavera,23:30,6:30
4.4,4,4,36.5,70.8,medio,ayuno,False,julio,68,verano,2:30,8:30
4.0,3,1,18.3,54.6,medio,procesada,False,diciembre,41,invierno,0:45,7:30
9.4,1,1,36.5,45.7,mucho,ayuno,False,junio,56,verano,20:45,7:15
4.9,3,6,18.6,38.5,nada,procesada,False,enero,79,invierno,2:30,9:30
4.4,4,6,44.3,25.2,poco,equilibrada,False,diciembre,47,invierno,21:15,9:30
9.0,1,5,42.5,70.3,mucho,sana,False,marzo,78,primavera,21:45,6:45
6.3,3,1,33.5,74.6,medio,equilibrada,False,mayo,38,primavera,1:45,6:30
1.3,4,5,26.2,72.8,medio,ayuno,True,abril,23,primavera,22:15,5:15
2.6,3,5,24.1,38.1,poco,procesada,True,noviembre,10,otoño,1:00,7:00
2.1,4,4,41.6,46.6,poco,muy procesada,False,septiembre,66,otoño,0:00,5:30
5.2,3,3,11.6,51.7,nada,muy procesada,False,octubre,57,otoño,0:15,6:30
6.9,1,3,43.4,65.8,medio,muy procesada,False,octubre,6,otoño,22:30,5:30
7.2,2,1,42.6,62.6,medio,equilibrada,False,marzo,24,primavera,21:15,5:45
6.1,3,2,24.7,45.7,medio,equilibrada,False,mayo,35,primavera,20:30,6:30
1.0,4,3,14.0,70.1,medio,muy procesada,True,octubre,71,otoño,0:45,6:45
7.9,1,9,32.7,39.9,mucho,sana,False,agosto,21,verano,23:45,10:45
6.0,2,6,20.7,45.9,mucho,sana,False,agosto,16,verano,20:00,5:45
6.3,2,2,21.8,43.3,poco,procesada,False,septiembre,61,otoño,21:00,7:00
3.3,2,14,27.6,29.1,medio,muy procesada,True,enero,62,invierno,20:30,11:30
6.8,2,1,28.8,31.2,medio,equilibrada,False,octubre,71,otoño,0:15,5:30
6.1,2,8,43.8,77.5,medio,ayuno,False,agosto,62,verano,20:30,10:00
8.9,0,2,14.2,68.9,mucho,ayuno,True,julio,49,verano,1:30,9:00
7.2,2,11,28.7,56.9,mucho,ayuno,False,mayo,50,primavera,20:15,10:15
8.5,1,6,27.6,68.4,mucho,ayuno,False,marzo,47,primavera,1:15,9:45
3.1,4,4,13.4,79.4,poco,equilibrada,False,enero,60,invierno,1:00,7:45
6.9,2,5,21.4,65.5,mucho,sana,False,marzo,19,primavera,23:45,5:00
4.0,4,5,22.6,53.6,medio,equilibrada,False,abril,53,primavera,1:30,7:30
5.1,2,6,31.5,79.8,mucho,sana,True,agosto,50,verano,22:45,5:00
3.0,4,5,28.3,35.4,medio,equilibrada,True,febrero,79,invierno,1:00,8:15
4.0,2,1,36.7,32.3,poco,equilibrada,True,septiembre,55,otoño,2:30,7:00
2.8,3,5,19.1,56.1,nada,equilibrada,True,septiembre,55,otoño,20:45,5:15
8.1,1,2,10.3,78.2,poco,equilibrada,False,febrero,20,invierno,21:30,5:45
5.2,2,3,39.5,65.1,medio,equilibrada,True,diciembre,54,invierno,2:45,8:15
9.1,1,2,45.0,41.1,medio,equilibrada,False,mayo,9,primavera,23:15,5:00
4.9,3,2,26.1,63.0,medio,equilibrada,False,mayo,52,primavera,2:45,7:45
4.7,2,6,14.6,37.6,medio,equilibrada,True,diciembre,51,invierno,20:15,11:30
2.5,4,5,38.7,39.7,medio,muy procesada,False,septiembre,21,otoño,1:15,9:30
3.3,3,4,10.3,63.6,medio,muy procesada,True,diciembre,59,invierno,22:15,6:45
4.7,1,1,14.3,41.9,poco,procesada,True,febrero,14,invierno,23:30,6:45
6.5,3,4,43.0,35.3,medio,ayuno,False,julio,63,verano,2:45,9:30
1.8,4,4,35.4,52.7,nada,procesada,True,febrero,55,invierno,2:45,10:00
4.6,2,4,36.4,54.9,poco,equilibrada,True,noviembre,30,otoño,22:15,7:45
1.4,4,8,12.9,64.8,poco,muy procesada,True,enero,7,invierno,20:30,7:45
4.8,4,5,23.2,44.5,medio,ayuno,False,agosto,77,verano,23:00,5:30
9.0,1,5,15.5,49.7,medio,ayuno,False,agosto,2,verano,0:15,8:00
4.1,3,3,37.5,39.4,poco,procesada,False,diciembre,18,invierno,0:30,5:45
7.4,1,4,11.1,61.2,medio,equilibrada,True,marzo,65,primavera,0:15,6:00
4.1,2,2,39.1,56.0,nada,procesada,True,enero,50,invierno,20:45,6:45
1.7,4,10,29.1,48.7,nada,muy procesada,True,octubre,2,otoño,21:30,8:30
2.5,3,2,30.8,74.6,poco,muy procesada,True,diciembre,74,invierno,0:45,7:15
3.6,1,7,16.1,69.1,poco,muy procesada,True,septiembre,12,otoño,20:45,5:00
10.0,0,7,42.9,48.5,mucho,equilibrada,False,julio,19,verano,0:15,8:45
4.2,3,4,33.8,48.4,poco,procesada,False,febrero,7,invierno,0:30,5:30
4.4,3,5,20.2,51.9,nada,procesada,False,febrero,13,invierno,0:30,6:15
8.3,0,2,20.9,37.6,mucho,sana,True,junio,64,verano,2:00,10:30
5.4,2,1,32.6,37.7,mucho,sana,True,marzo,37,primavera,1:00,7:45
7.0,1,1,42.5,57.0,mucho,sana,True,julio,15,verano,23:45,7:15
1.8,4,2,41.4,67.4,poco,equilibrada,True,enero,47,invierno,23:30,6:45
7.0,2,3,41.9,40.0,mucho,ayuno,False,marzo,37,primavera,1:45,8:45
4.6,2,3,38.9,47.2,poco,equilibrada,True,,60,invierno,23:30,9:15
8.2,0,2,17.2,30.7,nada,muy procesada,False,octubre,35,otoño,2:45,7:15
3.6,4,1,15.8,52.7,poco,muy procesada,False,septiembre,20,otoño,0:00,8:30
7.9,0,1,28.2,74.6,mucho,equilibrada,True,marzo,4,primavera,21:15,5:45
8.0,1,2,32.0,57.7,medio,equilibrada,False,marzo,73,primavera,2:00,8:30
6.3,2,2,38.0,79.7,mucho,equilibrada,False,julio,30,verano,0:30,7:30
5.9,2,11,43.2,68.7,nada,procesada,False,noviembre,50,otoño,23:30,11:30
8.0,1,5,16.2,70.5,nada,equilibrada,False,noviembre,55,otoño,0:00,6:00
8.0,2,3,19.8,65.9,mucho,ayuno,False,mayo,72,primavera,20:15,9:15
10.0,0,5,13.1,55.5,mucho,equilibrada,False,mayo,72,primavera,23:15,5:00
4.8,2,7,38.7,69.4,nada,muy procesada,False,septiembre,36,otoño,21:45,5:30
4.3,3,5,23.6,75.9,nada,procesada,False,febrero,36,invierno,2:30,8:30
10.0,0,4,11.5,42.1,mucho,equilibrada,False,julio,23,verano,2:00,10:45
10.0,0,6,16.2,27.4,mucho,ayuno,False,julio,8,verano,22:15,11:00
5.8,2,3,16.5,42.6,mucho,sana,True,junio,6,verano,1:30,9:15
6.2,2,1,19.8,37.0,medio,equilibrada,False,marzo,50,primavera,0:45,8:15
8.5,1,5,23.3,38.7,medio,ayuno,False,junio,38,verano,0:30,6:45
9.4,1,3,15.4,26.8,medio,sana,False,abril,4,primavera,23:30,6:30
3.6,3,5,14.3,53.3,poco,procesada,False,enero,3,invierno,22:15,6:00
4.0,4,9,29.9,64.9,medio,ayuno,False,abril,27,primavera,21:00,7:30
8.3,1,1,18.1,69.4,medio,equilibrada,False,agosto,0,verano,23:15,5:00
4.8,3,6,27.7,65.4,medio,sana,False,agosto,39,verano,23:30,7:45
6.6,2,1,29.5,42.6,mucho,sana,False,julio,53,verano,0:15,5:00
3.0,4,2,39.3,50.3,medio,equilibrada,False,junio,54,verano,0:00,6:45
7.7,1,1,35.2,66.8,mucho,sana,False,marzo,45,primavera,1:45,7:45
4.8,2,11,11.0,74.1,poco,muy procesada,True,octubre,57,otoño,22:15,11:00
7.5,1,1,44.6,30.4,medio,ayuno,False,julio,24,verano,21:45,7:30
7.1,1,2,40.0,73.4,mucho,equilibrada,True,marzo,11,primavera,0:45,8:15
9.3,0,4,23.2,41.3,mucho,ayuno,False,agosto,13,verano,22:45,8:00
2.6,4,2,31.1,76.0,medio,equilibrada,True,enero,14,invierno,21:15,5:15
1.0,4,1,38.2,50.2,nada,procesada,True,diciembre,27,invierno,21:00,5:15
5.6,3,6,17.4,76.5,nada,equilibrada,False,febrero,0,invierno,20:00,9:00
2.2,4,10,15.3,66.4,medio,equilibrada,True,febrero,73,invierno,20:00,11:30
7.2,1,5,11.0,43.2,nada,procesada,False,diciembre,30,invierno,2:45,9:45
8.4,1,2,40.9,52.3,medio,sana,False,abril,24,primavera,21:45,10:30
3.3,4,12,21.1,26.1,medio,procesada,False,febrero,0,invierno,21:15,11:15
6.5,2,4,27.2,32.6,nada,equilibrada,False,diciembre,4,invierno,22:30,5:15
6.3,2,2,18.4,40.2,medio,muy procesada,False,enero,51,invierno,2:00,7:15
1.5,4,5,21.9,73.3,medio,ayuno,True,junio,21,verano,20:00,9:00
2.6,3,6,27.3,62.9,nada,muy procesada,True,enero,73,invierno,1:00,9:30
7.3,2,4,23.0,74.1,medio,equilibrada,False,marzo,44,primavera,1:45,7:00
10.0,0,4,34.4,70.1,mucho,ayuno,False,julio,73,verano,21:15,5:30
7.2,2,4,44.5,73.2,medio,sana,False,marzo,67,primavera,22:15,6:45
7.5,2,5,33.3,58.7,medio,ayuno,False,mayo,10,primavera,21:45,9:45
5.3,1,1,40.7,30.0,mucho,sana,True,agosto,18,verano,20:00,8:15
4.1,4,4,28.3,71.1,medio,equilibrada,False,julio,17,verano,21:45,7:00
5.9,1,3,15.7,59.1,mucho,equilibrada,True,mayo,37,primavera,0:00,6:30
5.9,3,3,23.1,49.2,poco,equilibrada,False,febrero,76,invierno,2:30,9:45
5.6,1,3,10.2,54.6,mucho,sana,True,julio,72,verano,0:00,7:30
8.1,1,8,37.4,76.7,mucho,equilibrada,False,abril,21,primavera,20:45,7:45
5.6,2,5,43.4,78.4,poco,muy procesada,False,enero,42,invierno,21:30,5:00
6.6,1,5,37.1,38.4,poco,procesada,False,noviembre,63,otoño,22:45,6:30
4.9,2,6,35.1,30.4,mucho,equilibrada,True,marzo,3,primavera,0:00,7:45
9.0,1,9,16.1,79.7,mucho,ayuno,False,junio,71,verano,21:45,7:45
6.2,3,1,42.5,40.1,medio,sana,False,abril,3,primavera,2:30,9:30
7.7,1,4,14.8,66.0,medio,ayuno,False,julio,59,verano,0:30,8:30
7.1,2,11,17.7,34.4,poco,equilibrada,False,septiembre,53,otoño,20:15,11:15
2.6,4,2,20.2,62.5,medio,equilibrada,True,agosto,44,verano,2:45,8:00
6.8,1,1,23.4,34.5,poco,muy procesada,False,diciembre,78,invierno,1:15,6:00
7.3,1,10,18.9,37.9,medio,sana,True,agosto,69,verano,20:45,7:30
7.4,2,10,37.4,32.0,nada,equilibrada,False,enero,68,invierno,20:15,8:45
5.4,2,2,42.4,42.0,mucho,equilibrada,True,abril,2,primavera,1:15,8:45
7.8,1,2,23.3,63.8,mucho,sana,False,abril,77,primavera,0:00,8:45
6.7,2,3,30.4,73.6,medio,ayuno,False,julio,70,verano,22:15,10:45
3.6,4,4,33.5,77.8,poco,muy procesada,False,noviembre,67,otoño,22:30,8:45
3.2,4,4,28.6,62.6,poco,equilibrada,False,septiembre,71,otoño,2:45,8:30
6.4,2,12,20.8,52.3,medio,equilibrada,False,mayo,21,primavera,20:15,10:00
4.1,4,6,34.0,47.2,medio,equilibrada,False,junio,48,verano,22:15,6:00
5.2,2,6,44.8,56.5,mucho,sana,True,junio,34,verano,0:15,8:30
6.9,2,4,35.3,30.0,mucho,equilibrada,False,junio,30,verano,1:15,8:00
7.7,2,5,31.0,63.3,poco,equilibrada,False,octubre,71,otoño,2:15,8:15
5.9,2,5,21.5,43.0,nada,muy procesada,False,feb,74,invierno,2:30,8:00
3.9,4,6,38.7,49.0,poco,muy procesada,False,noviembre,50,otoño,1:15,8:00
2.6,3,4,13.0,60.5,poco,equilibrada,True,noviembre,35,otoño,2:15,10:45
7.5,2,3,20.5,41.2,medio,sana,False,mayo,56,primavera,1:00,8:45
6.6,2,3,21.9,56.3,nada,procesada,False,enero,20,invierno,23:30,5:45
8.9,1,2,34.3,68.5,mucho,ayuno,False,julio,65,verano,1:00,8:45
4.7,2,1,23.8,58.8,medio,procesada,True,septiembre,55,otoño,2:15,8:00
4.9,2,4,22.3,64.8,nada,procesada,True,diciembre,68,invierno,23:30,7:30
1.9,4,1,15.5,33.2,nada,procesada,True,febrero,42,invierno,2:15,9:15
2.5,3,1,19.1,42.6,nada,muy procesada,True,diciembre,2,invierno,0:30,8:30
5.4,3,7,39.2,39.6,medio,ayuno,False,mayo,18,primavera,21:00,10:00
8.3,1,2,16.3,31.0,medio,procesada,False,octubre,75,otoño,1:15,7:15
1.0,4,2,26.7,64.3,nada,procesada,True,noviembre,69,otoño,2:45,8:00
2.0,4,4,15.2,62.1,medio,ayuno,True,marzo,78,primavera,2:15,7:00
3.8,3,4,36.3,37.0,medio,equilibrada,True,julio,29,verano,0:15,6:00
7.6,0,2,23.5,26.0,mucho,ayuno,False,abril,56,primavera,0:00,6:30
7.2,1,7,11.3,71.3,medio,procesada,False,noviembre,34,otoño,23:30,7:00
4.8,2,3,13.4,68.0,medio,equilibrada,True,julio,44,verano,23:30,7:30
4.2,2,4,21.8,46.5,medio,ayuno,True,mayo,20,primavera,1:45,8:15
1.2,4,1,41.1,59.4,nada,equilibrada,True,diciembre,4,invierno,22:15,6:45
6.7,2,5,29.9,35.4,mucho,sana,False,mayo,40,primavera,21:45,5:15
3.5,4,3,32.3,79.4,poco,muy procesada,False,noviembre,80,otoño,2:00,7:45
4.7,4,1,21.3,56.1,medio,equilibrada,False,septiembre,73,otoño,1:45,8:00
1.0,4,11,16.3,74.8,poco,procesada,True,septiembre,66,otoño,20:15,9:00
5.4,3,1,25.1,72.2,nada,equilibrada,False,octubre,17,otoño,20:15,7:45
8.0,1,7,26.6,77.2,mucho,ayuno,False,marzo,49,primavera,21:30,5:00
5.8,2,2,42.5,79.6,medio,ayuno,True,marzo,38,primavera,2:45,7:00
10.0,0,2,24.1,79.5,mucho,equilibrada,False,mayo,15,primavera,0:00,6:00
